Stream,Depth
Metadata Attribute,Value
Frame Counter,154
Frame Timestamp,516856214
Sensor Timestamp,516849596
Actual Exposure,13237
Gain Level,16
Auto Exposure,1
Time Of Arrival,1749676932493
Backend Timestamp,1749676932486
Actual Fps,29977
Frame Laser Power,150
Frame Laser Power Mode,1
Exposure Priority,1
Exposure Roi Left,80
Exposure Roi Right,560
Exposure Roi Top,60
Exposure Roi Bottom,420
Frame Emitter Mode,1
Raw Frame Size,614400
Gpio Input Data,251
Sequence Name,0
Sequence Id,0
Sequence Size,0
